V2	V3	Species	taxid
SRR15115267.19628204	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.1437257	Paracoccus mutanolyticus (taxid 1499308)	Paracoccus mutanolyticus	1499308
SRR15115267.9984830	Paracoccus mutanolyticus (taxid 1499308)	Paracoccus mutanolyticus	1499308
SRR15115267.11369347	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.11369588	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.11369708	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.1668568	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.15681826	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.8083859	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.19926646	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.3212238	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.12393762	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.2302745	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.7951627	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.1475820	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.15869529	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.6740196	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.6740285	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.6740598	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.14485610	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.7979524	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.8795403	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.3139357	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.17835528	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.9243200	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.14716453	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.9044524	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.9044589	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.9045236	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.15414866	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.17281336	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.4793912	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.4796367	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.10943449	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.15389549	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.7891585	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.2880580	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.13312074	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.1269606	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.3717281	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.3716619	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.11752724	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.12074520	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.19113482	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.10745972	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.11392427	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.10346508	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.19916256	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.14275439	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.5453842	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.5453914	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.1601660	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.564789	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.9123123	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.12268917	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.11493996	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.4214167	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.4780384	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.15175559	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.15489748	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.9808569	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.21232170	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.10094714	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.15721935	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.2703648	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.17635855	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.309223	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.433652	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.18954639	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.19456442	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.19504614	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.2141616	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.1615431	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.20442083	Paracoccus mutanolyticus (taxid 1499308)	Paracoccus mutanolyticus	1499308
SRR15115267.15229756	Paracoccus mutanolyticus (taxid 1499308)	Paracoccus mutanolyticus	1499308
SRR15115267.14767981	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.11379572	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.17414661	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.945	Paracoccus mutanolyticus (taxid 1499308)	Paracoccus mutanolyticus	1499308
SRR15115267.851053	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.2000440	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.3123134	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.15650119	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.12626738	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.9066167	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.13819270	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.3345868	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.3705558	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.15218290	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.15707594	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.6537490	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.14603854	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.14604156	Flavobacteriaceae bacterium MAR_2010_188 (taxid 1250295)	Flavobacteriaceae bacterium MAR_2010_188	1250295
SRR15115267.10613999	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.15235681	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.16145379	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.214350	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.2897016	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.16517411	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.1780082	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.7132107	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.10745153	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.9175370	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.17289585	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.11242486	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.18694093	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.9563865	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.5964658	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.6711477	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.12065749	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.18630398	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.18630467	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.11323404	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.20591950	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.20748753	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.20056947	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.7258375	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.3481091	Paracoccus mutanolyticus (taxid 1499308)	Paracoccus mutanolyticus	1499308
SRR15115267.8309799	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.12776929	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.20406188	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.21471957	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.8807597	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.8808387	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.8301660	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.8303237	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.3582805	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.3584534	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.18764369	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.471699	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.359005	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.3461214	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.3069411	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.10353015	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.10353016	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.12023753	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.642910	Halomonas sp. JS92-SW72 (taxid 2306583)	Halomonas sp. JS92-SW72	2306583
SRR15115267.2600718	Halomonas sp. JS92-SW72 (taxid 2306583)	Halomonas sp. JS92-SW72	2306583
SRR15115267.16634166	Halomonas sp. JS92-SW72 (taxid 2306583)	Halomonas sp. JS92-SW72	2306583
SRR15115267.16634218	Halomonas sp. JS92-SW72 (taxid 2306583)	Halomonas sp. JS92-SW72	2306583
SRR15115267.17569103	Halomonas sp. JS92-SW72 (taxid 2306583)	Halomonas sp. JS92-SW72	2306583
SRR15115267.13323847	Halomonas sp. JS92-SW72 (taxid 2306583)	Halomonas sp. JS92-SW72	2306583
SRR15115267.17034522	Halomonas sp. JS92-SW72 (taxid 2306583)	Halomonas sp. JS92-SW72	2306583
SRR15115267.4661451	Hydrogenophaga sp. NH-16 (taxid 2184519)	Hydrogenophaga sp. NH-16	2184519
SRR15115267.6343361	Halomonas sp. JS92-SW72 (taxid 2306583)	Halomonas sp. JS92-SW72	2306583
SRR15115267.7386902	Hydrogenophaga sp. NH-16 (taxid 2184519)	Hydrogenophaga sp. NH-16	2184519
SRR15115267.2495849	Halomonas sp. JS92-SW72 (taxid 2306583)	Halomonas sp. JS92-SW72	2306583
SRR15115267.13392913	Halomonas sp. JS92-SW72 (taxid 2306583)	Halomonas sp. JS92-SW72	2306583
SRR15115267.16049624	Halomonas sp. JS92-SW72 (taxid 2306583)	Halomonas sp. JS92-SW72	2306583
SRR15115267.5299415	Halomonas sp. JS92-SW72 (taxid 2306583)	Halomonas sp. JS92-SW72	2306583
SRR15115267.8322815	Halomonas sp. JS92-SW72 (taxid 2306583)	Halomonas sp. JS92-SW72	2306583
SRR15115267.1311451	Halomonas sp. JS92-SW72 (taxid 2306583)	Halomonas sp. JS92-SW72	2306583
SRR15115267.3091806	Hydrogenophaga sp. NH-16 (taxid 2184519)	Hydrogenophaga sp. NH-16	2184519
SRR15115267.12387577	Halomonas sp. JS92-SW72 (taxid 2306583)	Halomonas sp. JS92-SW72	2306583
SRR15115267.3188271	Halomonas sp. JS92-SW72 (taxid 2306583)	Halomonas sp. JS92-SW72	2306583
SRR15115267.19214980	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.20915939	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.20916041	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.19018463	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.20784117	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.18298772	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.12545625	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.12864694	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.11443719	Paracoccus mutanolyticus (taxid 1499308)	Paracoccus mutanolyticus	1499308
SRR15115267.6066168	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.1021039	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.19330440	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.9604652	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.19828921	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.18578106	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.14383580	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.7627564	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.7226896	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.10384886	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.15168505	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.20146240	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.13686308	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.507092	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.507947	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.7467456	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.8909927	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.14279350	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.17289249	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.4839189	Staphylococcus aureus (taxid 1280)	Staphylococcus aureus	1280
SRR15115267.13142236	Staphylococcus haemolyticus (taxid 1283)	Staphylococcus haemolyticus	1283
SRR15115267.20235368	Escherichia coli (taxid 562)	Escherichia coli	562
SRR15115267.10210278	Paracoccus mutanolyticus (taxid 1499308)	Paracoccus mutanolyticus	1499308
