SRR15115262.10017186	NZ_CP012354.1
SRR15115262.13519936	NZ_CP022298.1
SRR15115262.13519936	NZ_CP022298.1
SRR15115262.13599585	NZ_CP037424.1
SRR15115262.13599585	NZ_CP037424.1
SRR15115262.136099	NZ_CP035765.1
SRR15115262.1361066	NZ_CP037424.1
SRR15115262.1361066	NZ_CP037424.1
SRR15115262.13693516	NZ_CP022298.1
SRR15115262.13693516	NZ_CP022298.1
SRR15115262.13700629	NZ_CP014064.2
SRR15115262.13700629	NZ_CP014064.2
SRR15115262.13719312	NZ_CP031011.1
SRR15115262.13719312	NZ_CP031011.1
SRR15115262.13747382	NZ_CP037424.1
SRR15115262.13747382	NZ_CP037424.1
SRR15115262.13832051	NZ_CP033953.1
SRR15115262.13876754	NZ_CP030053.1
SRR15115262.13876754	NZ_CP030053.1
SRR15115262.13943855	NZ_CP022298.1
SRR15115262.13943855	NZ_CP022298.1
SRR15115262.13967207	NZ_CP022786.1
SRR15115262.13967207	NZ_CP022786.1
SRR15115262.13967226	NZ_CP013916.1
SRR15115262.13967226	NZ_CP023705.1
SRR15115262.13970346	NZ_CP012352.1
SRR15115262.13980151	NZ_CP033953.1
SRR15115262.13980151	NZ_CP033953.1
SRR15115262.13980844	NZ_CP033953.1
SRR15115262.13980844	NZ_CP033953.1
SRR15115262.14005202	NZ_CP022298.1
SRR15115262.14005202	NZ_CP022298.1
SRR15115262.140733	NZ_CP037424.1
SRR15115262.140733	NZ_CP037424.1
SRR15115262.14083281	NZ_CP037424.1
SRR15115262.14083281	NZ_CP037424.1
SRR15115262.14099030	NZ_CP050529.1
SRR15115262.14112659	NZ_CP022298.1
SRR15115262.14125390	NZ_CP044548.2
SRR15115262.14125390	NZ_CP044548.2
SRR15115262.14127995	NZ_AP014630.1
SRR15115262.14127995	NZ_AP014630.1
SRR15115262.14157718	NZ_CP022298.1
SRR15115262.1419877	NZ_CP016448.1
SRR15115262.1422833	NZ_CP019143.1
SRR15115262.14232600	NZ_CP050431.1
SRR15115262.14232600	NZ_CP050431.1
SRR15115262.14247002	NZ_LR607360.1
SRR15115262.14278309	NZ_CP022298.1
SRR15115262.14278309	NZ_CP022298.1
SRR15115262.14278415	NZ_CP022298.1
SRR15115262.14289549	NZ_CP037424.1
SRR15115262.14318258	NZ_CP024180.2
SRR15115262.14318258	NZ_CP024180.2
SRR15115262.1435935	NZ_CP037424.1
SRR15115262.1435935	NZ_CP037424.1
SRR15115262.14394391	NZ_CP022298.1
SRR15115262.14394391	NZ_CP022298.1
SRR15115262.14397968	NZ_CP020369.1
SRR15115262.14440920	NZ_CP044548.2
SRR15115262.14440920	NZ_CP044548.2
SRR15115262.14470949	NZ_CP046296.1
SRR15115262.14470949	NZ_CP046296.1
SRR15115262.1458120	NZ_LR607360.1
SRR15115262.14587248	NZ_CP022298.1
SRR15115262.14596400	NZ_LR607360.1
SRR15115262.1461093	NZ_CP037424.1
SRR15115262.1461093	NZ_CP037424.1
SRR15115262.14616415	NZ_CP022298.1
SRR15115262.14652550	NZ_CP029210.1
SRR15115262.14652550	NZ_CP029210.1
SRR15115262.1470970	NZ_CP037424.1
SRR15115262.1471055	NZ_CP012605.1
SRR15115262.1471055	NZ_CP012605.1
SRR15115262.14744687	NZ_CP050525.1
SRR15115262.14756185	NZ_CP042558.1
SRR15115262.14756185	NZ_CP042558.1
SRR15115262.14779283	NZ_CP037424.1
SRR15115262.14779283	NZ_CP037424.1
SRR15115262.14781670	NZ_CP037424.1
SRR15115262.14781670	NZ_CP037424.1
SRR15115262.14827652	NZ_CP037424.1
SRR15115262.14827652	NZ_CP037424.1
SRR15115262.14850239	NZ_CP022298.1
SRR15115262.14872676	NZ_CP022298.1
SRR15115262.14872676	NZ_CP022298.1
SRR15115262.14908550	NZ_CP037869.1
SRR15115262.14927910	NZ_CP020369.1
SRR15115262.14934827	NZ_LR607360.1
SRR15115262.14935999	NZ_CP031011.1
SRR15115262.14948604	NZ_CP037424.1
SRR15115262.14948604	NZ_CP037424.1
SRR15115262.14965219	NZ_CP020369.1
SRR15115262.14992348	NZ_CP027183.1
SRR15115262.15009267	NZ_CP027782.1
SRR15115262.15019876	NZ_CP033953.1
SRR15115262.15019876	NZ_CP033953.1
SRR15115262.15043845	NZ_CP040435.1
SRR15115262.15080953	NZ_CP020369.1
SRR15115262.15085656	NZ_CP022746.1
SRR15115262.15086492	NC_009485.1
SRR15115262.15086492	NC_009485.1
SRR15115262.15090783	NZ_LR607360.1
SRR15115262.15092188	NZ_CP037424.1
SRR15115262.15092188	NZ_CP037424.1
SRR15115262.15115844	NZ_CP043307.1
SRR15115262.15115844	NZ_CP043307.1
SRR15115262.15168361	NZ_CP025616.2
SRR15115262.15168361	NZ_CP025616.2
SRR15115262.15184698	NZ_CP022298.1
SRR15115262.1518472	NZ_CP012353.1
SRR15115262.1518472	NZ_CP012353.1
SRR15115262.15187267	NZ_CP044548.2
SRR15115262.15187267	NZ_CP044548.2
SRR15115262.15194559	NZ_CP047226.1
SRR15115262.15194559	NZ_CP047226.1
SRR15115262.15211322	NZ_CP023705.1
SRR15115262.15211322	NZ_CP023705.1
SRR15115262.15217624	NZ_CP038644.1
SRR15115262.15244282	NZ_LR607360.1
SRR15115262.15256058	NZ_CP014234.1
SRR15115262.15256058	NZ_CP014234.1
SRR15115262.15259705	NZ_CP022298.1
SRR15115262.1531783	NZ_CP011514.1
SRR15115262.15327749	NZ_CP037424.1
SRR15115262.15329558	NZ_CP046296.1
SRR15115262.15329558	NZ_CP046296.1
SRR15115262.15330027	NZ_CP046296.1
SRR15115262.15340625	NZ_LR607360.1
SRR15115262.15363557	NZ_CP022298.1
SRR15115262.15389182	NZ_CP027778.1
SRR15115262.15389182	NZ_CP027778.1
SRR15115262.15416848	NZ_CP037424.1
SRR15115262.15416848	NZ_CP037424.1
SRR15115262.15441824	NZ_CP016023.1
SRR15115262.15441824	NZ_CP016023.1
SRR15115262.15467499	NZ_CP037424.1
SRR15115262.15467499	NZ_CP037424.1
SRR15115262.15483842	NZ_CP027778.1
SRR15115262.15486792	NZ_CP022298.1
SRR15115262.15486792	NZ_CP022298.1
SRR15115262.15509178	NZ_CP037424.1
SRR15115262.15518103	NZ_CP022298.1
SRR15115262.15518103	NZ_CP022298.1
SRR15115262.15529018	NZ_CP044548.2
SRR15115262.15562900	NZ_CP043307.1
SRR15115262.15562900	NZ_CP043307.1
SRR15115262.15578440	NZ_CP032147.1
SRR15115262.15579384	NZ_CP037424.1
SRR15115262.15579384	NZ_CP037424.1
SRR15115262.15616702	NZ_CP022298.1
SRR15115262.15616702	NZ_CP022298.1
SRR15115262.15627400	NZ_LR607360.1
SRR15115262.15666767	NZ_CP033232.1
SRR15115262.15666767	NZ_CP033232.1
SRR15115262.15677448	NZ_CP020369.1
SRR15115262.15677662	NZ_CP024201.1
SRR15115262.15677662	NZ_CP024201.1
SRR15115262.15682689	NZ_CP037424.1
SRR15115262.15682729	NZ_CP037424.1
SRR15115262.15682729	NZ_CP037424.1
SRR15115262.15719813	NZ_CP020369.1
SRR15115262.15733791	NZ_CP022298.1
SRR15115262.15733791	NZ_CP022298.1
SRR15115262.15772558	NZ_CP042164.1
SRR15115262.15772558	NZ_CP042164.1
SRR15115262.1577946	NZ_CP037424.1
SRR15115262.1577946	NZ_CP037424.1
SRR15115262.1578203	NZ_CP037424.1
SRR15115262.1578203	NZ_CP037424.1
SRR15115262.15787887	NZ_CP044548.2
SRR15115262.15787887	NZ_CP044548.2
SRR15115262.1582509	NZ_CP044548.2
SRR15115262.1582509	NZ_CP044548.2
SRR15115262.15828178	NZ_CP022298.1
SRR15115262.1583619	NZ_CP022298.1
SRR15115262.1583619	NZ_CP022298.1
SRR15115262.1584381	NZ_CP022298.1
SRR15115262.1584381	NZ_CP022298.1
SRR15115262.1589338	NZ_CP022298.1
SRR15115262.1589338	NZ_CP022298.1
SRR15115262.15912463	NZ_AP014630.1
SRR15115262.15912463	NZ_AP014630.1
SRR15115262.15939205	NZ_CP044548.2
SRR15115262.15939205	NZ_CP044548.2
SRR15115262.15964781	NZ_CP014847.1
SRR15115262.15964781	NZ_CP014847.1
SRR15115262.1596779	NZ_CP037424.1
SRR15115262.1596779	NZ_CP037424.1
SRR15115262.15989075	NZ_CP044548.2
SRR15115262.15989075	NZ_CP044548.2
SRR15115262.15989086	NZ_CP044548.2
SRR15115262.16063007	NZ_CP033231.1
SRR15115262.16063007	NZ_CP033231.1
SRR15115262.16077199	NZ_CP022298.1
SRR15115262.16089995	NZ_CP031011.1
SRR15115262.16089995	NZ_CP031011.1
SRR15115262.16091540	NZ_CP044548.2
SRR15115262.16091540	NZ_CP044548.2
SRR15115262.16094945	NZ_CP024180.2
SRR15115262.16120933	NZ_CP043307.1
SRR15115262.16120933	NZ_CP043307.1
SRR15115262.16127660	NZ_CP037424.1
SRR15115262.16127671	NZ_CP037424.1
SRR15115262.16127671	NZ_CP037424.1
SRR15115262.16131993	NZ_LT629302.1
SRR15115262.16131993	NZ_LT629302.1
SRR15115262.16133223	NZ_CP044548.2
SRR15115262.16133223	NZ_CP044548.2
SRR15115262.16141588	NZ_CP016022.1
SRR15115262.16141588	NZ_CP016022.1
SRR15115262.16142068	NZ_CP016022.1
SRR15115262.16142068	NZ_CP016022.1
SRR15115262.16154751	NZ_CP045291.1
SRR15115262.16154751	NZ_CP045291.1
SRR15115262.16162054	NZ_CP016023.1
SRR15115262.16162054	NZ_CP016023.1
SRR15115262.16168435	NZ_CP037424.1
SRR15115262.1618825	NZ_CP022298.1
SRR15115262.1618825	NZ_CP022298.1
SRR15115262.16194815	NZ_CP047226.1
SRR15115262.16273362	NZ_CP045291.1
SRR15115262.16273362	NZ_CP045291.1
SRR15115262.16288307	NZ_CP022298.1
SRR15115262.16295065	NZ_CP044548.2
SRR15115262.16325894	NZ_CP020369.1
SRR15115262.16330840	NC_009485.1
SRR15115262.16330840	NC_009485.1
SRR15115262.16349681	NZ_CP044548.2
SRR15115262.16364761	NZ_CP041689.1
SRR15115262.16416994	NZ_CP023705.1
SRR15115262.16416994	NZ_CP023705.1
SRR15115262.16428344	NZ_CP022298.1
SRR15115262.16459846	NZ_CP033200.1
SRR15115262.16459846	NZ_CP033200.1
SRR15115262.16520044	NZ_CP022298.1
SRR15115262.16520044	NZ_CP022298.1
SRR15115262.1652110	NZ_CP033842.1
SRR15115262.1652110	NZ_CP033842.1
SRR15115262.16534332	NZ_CP044548.2
SRR15115262.16534332	NZ_CP044548.2
SRR15115262.1658883	NZ_CP054803.1
SRR15115262.16610419	NZ_CP027782.1
SRR15115262.16650498	NZ_CP011514.1
SRR15115262.16651802	NZ_CP045291.1
SRR15115262.16651802	NZ_CP045291.1
SRR15115262.1666618	NZ_CP022298.1
SRR15115262.16691919	NZ_CP029210.1
SRR15115262.16691919	NZ_CP029210.1
SRR15115262.16720445	NZ_CP017420.1
SRR15115262.16720689	NZ_CP045291.1
SRR15115262.16720689	NZ_CP045291.1
SRR15115262.16721172	NZ_CP017420.1
SRR15115262.16758985	NZ_CP017420.1
SRR15115262.16758985	NZ_CP017420.1
SRR15115262.16774465	NZ_CP020369.1
SRR15115262.16791379	NC_009485.1
SRR15115262.16800832	NC_009485.1
SRR15115262.16800832	NC_009485.1
SRR15115262.16811924	NZ_CP029210.1
SRR15115262.16811924	NZ_CP029210.1
SRR15115262.16818138	NZ_CP037424.1
SRR15115262.16818138	NZ_CP037424.1
SRR15115262.16827694	NZ_CP023705.1
SRR15115262.16827694	NZ_CP023705.1
SRR15115262.16843088	NZ_CP037424.1
SRR15115262.16843088	NZ_CP037424.1
SRR15115262.16895806	NZ_CP045291.1
SRR15115262.16895806	NZ_CP045291.1
SRR15115262.16941169	NZ_CP017420.1
SRR15115262.16941169	NZ_CP017420.1
SRR15115262.1694959	NZ_CP037424.1
SRR15115262.1694959	NZ_CP037424.1
SRR15115262.16972838	NZ_CP015220.1
SRR15115262.16972838	NZ_CP015220.1
SRR15115262.16982778	NZ_CP020369.1
SRR15115262.17032547	NZ_CP033231.1
SRR15115262.17042968	NZ_CP031011.1
SRR15115262.17042968	NZ_CP031011.1
SRR15115262.17059854	NZ_CP037424.1
SRR15115262.17077917	NZ_CP022298.1
SRR15115262.17077917	NZ_CP022298.1
SRR15115262.17081150	NZ_CP050529.1
SRR15115262.17098126	NZ_CP043307.1
SRR15115262.17098126	NZ_CP043307.1
SRR15115262.17103493	NZ_CP022298.1
SRR15115262.17121218	NZ_CP037424.1
SRR15115262.17121218	NZ_CP037424.1
SRR15115262.17125167	NZ_CP020369.1
SRR15115262.17141048	NZ_CP037424.1
SRR15115262.17192890	NZ_CP022298.1
SRR15115262.17192890	NZ_CP022298.1
SRR15115262.1721083	NZ_CP031011.1
SRR15115262.1721083	NZ_CP031011.1
SRR15115262.17211965	NZ_CP024613.1
SRR15115262.17211965	NZ_CP022298.1
SRR15115262.17281199	NZ_CP040257.1
SRR15115262.17281199	NZ_CP040257.1
SRR15115262.17285851	NZ_CP022298.1
SRR15115262.173975	NZ_CP022298.1
SRR15115262.17421191	NZ_CP022298.1
SRR15115262.17432982	NZ_CP044548.2
SRR15115262.17433985	NZ_CP044548.2
SRR15115262.17433985	NZ_CP044548.2
SRR15115262.17462890	NZ_CP030053.1
SRR15115262.17462890	NZ_CP030053.1
SRR15115262.17518892	NZ_LR607360.1
SRR15115262.17546121	NZ_CP044548.2
SRR15115262.17546121	NZ_CP044548.2
SRR15115262.17615467	NZ_CP020369.1
SRR15115262.17619952	NZ_CP031011.1
SRR15115262.17619952	NZ_CP031011.1
SRR15115262.17629828	NC_009485.1
SRR15115262.17629828	NC_009485.1
SRR15115262.17642382	NZ_CP044548.2
SRR15115262.17724284	NZ_CP044548.2
SRR15115262.17724284	NZ_CP044548.2
SRR15115262.17731911	NZ_CP046319.1
SRR15115262.17731911	NZ_CP046319.1
SRR15115262.17779032	NZ_CP054803.1
SRR15115262.17779032	NZ_CP054803.1
SRR15115262.1778285	NZ_CP016022.1
SRR15115262.1778285	NZ_CP016022.1
SRR15115262.1781066	NZ_CP029210.1
SRR15115262.1781066	NZ_CP029210.1
SRR15115262.1781663	NZ_CP033953.1
SRR15115262.17824229	NZ_CP033953.1
SRR15115262.17824229	NZ_CP033953.1
SRR15115262.1782731	NZ_CP037424.1
SRR15115262.1782731	NZ_CP037424.1
SRR15115262.1782921	NZ_CP024576.1
SRR15115262.17861657	NZ_CP040019.1
SRR15115262.17861657	NZ_CP040019.1
SRR15115262.17911609	NZ_CP016022.1
SRR15115262.17911609	NZ_CP016022.1
SRR15115262.17927144	NZ_LR607360.1
SRR15115262.17933135	NZ_CP047699.1
SRR15115262.17933135	NZ_CP047699.1
SRR15115262.17940232	NZ_CP022298.1
SRR15115262.17940232	NZ_CP022298.1
SRR15115262.17987936	NZ_CP045291.1
SRR15115262.17987936	NZ_CP045291.1
SRR15115262.18089335	NZ_CP037424.1
SRR15115262.18089335	NZ_CP037424.1
SRR15115262.18127587	NZ_CP037424.1
SRR15115262.18127587	NZ_CP037424.1
SRR15115262.18166818	NZ_CP017420.1
SRR15115262.18175771	NZ_CP022298.1
SRR15115262.18175771	NZ_CP022298.1
SRR15115262.18179761	NZ_CP017420.1
SRR15115262.18181831	NZ_CP020369.1
SRR15115262.18224217	NZ_CP020369.1
